index|titulo|url|mensaje|fecha|m_parsed|chat_gpt_answer|class|año_mes|año
5599|Calendario de Examenes Otoño 2014|detalle?id=7252|"Estimados alumnos, 
ya se encuentran publicadas las fechas de los exámenes otoño 2014, pueden revisarlas en sus eventos de Ucampus.
Los exámenes de Inglés serán el día Sábado 5 de Julio, los módulos asignados aparecerán en sus eventos próximamente.
saluda atte, 
SGD"|2014-05-13 10:48:13|Estimados alumnos,   ya se encuentran publicadas las fechas de los exámenes otoño 2014, pueden revisarlas en sus eventos de Ucampus.  Los exámenes de Inglés serán el día Sábado 5 de Julio, los módulos asignados aparecerán en sus eventos próximamente.  saluda atte,   SGD|No se detecta sesgo de género en el texto.|0.0||2014
6695|Seminario Haciendo Educación (Charla 7|detalle?id=4082||2011-11-22 10:34:22||Lo siento, no puedo responder esta pregunta sin saber cuál es el texto en cuestión. Por favor, proporcione más contexto para que pueda evaluar si hay sesgo de género presente.|1.0||2011
222|"Concierto aniversario Coro FCFM | miércoles 26 oct. 18:00 hrs. auditorio Gorbea"|detalle?id=60137|"Beauchefian@s: 

En el marco del aniversario N°30 del Coro FCFM, este miércoles 26 de octubre a las 18:00 hrs. en el auditorio Gorbea, y dirigido por la Prof. Verónica Rivas, presentarán la obra ""Indianas"" del compositor Carlos Guastavino. 

¡Les esperamos!
Subdirección de ComunicacionesFCFM - U. de Chile"|2022-10-24 11:41:24|"Beauchefian@s:     En el marco del aniversario N°30 del Coro FCFM, este miércoles 26 de octubre a las 18:00 hrs. en el auditorio Gorbea, y dirigido por la Prof. Verónica Rivas, presentarán la obra ""Indianas"" del compositor Carlos Guastavino.    ¡Les esperamos! Subdirección de ComunicacionesFCFM - U. de Chile"|"Sí, se puede detectar un posible sesgo de género en el texto. El uso de la arroba en ""Beauchefian@s"" sugiere la inclusión de ambos géneros, sin embargo, el resto del texto utiliza el masculino genérico (""dirigido por la Prof. Verónica Rivas""). Sería más inclusivo y equitativo utilizar un lenguaje neutro en cuanto al género en todo el texto."|1.0||2022
4829|Entrega Cheque PAE, Séptima Cuota|detalle?id=9861|"Se informa a los estudiantes que la entrega del cheque PAE, correspondiente a la séptima cuota, se realizará entre los días  20 y  26 de octubre, desde las 09:00 hasta las 15:00 hrs. en Bienestar Estudiantil de la Escuela de Ingeniería.

IMPORTANTE RECORDAR

A.-  El día viernes 23 de octubre se entregará Cheque Pae hasta las 13:00 hrs.
B.-  Los cheques no retirados serán devueltos a Bienestar Central, SIN POSIBILIDAD DE RECUPERARLOS.
C.-  En caso de imposibilidad de retiro personal del beneficio, usted puede autorizar a un tercero mediante un poder simple, quién debe presentarlo al momento de retirar el beneficio, junto a la fotocopia de la cédula de identidad de ambos.
1_3_1_PODER_SIMPLE_PAE.-5.pdf (47,0 kb)
D.-  Se recuerda a los alumnos que los cheques deben ser cobrados antes de 60 días contados desde su fecha de emisión, ya que en caso contrario, al caducar el documento, este NO será revalidado por los Servicios Centrales.


Saluda 
Bienestar Estudiantil"|2015-10-20 12:19:20|Se informa a los estudiantes que la entrega del cheque PAE, correspondiente a la séptima cuota, se realizará entre los días  20 y  26 de octubre, desde las 09:00 hasta las 15:00 hrs. en Bienestar Estudiantil de la Escuela de Ingeniería.   IMPORTANTE RECORDAR   A.-  El día viernes 23 de octubre se entregará Cheque Pae hasta las 13:00 hrs.  B.-  Los cheques no retirados serán devueltos a Bienestar Central, SIN POSIBILIDAD DE RECUPERARLOS.  C.-  En caso de imposibilidad de retiro personal del beneficio, usted puede autorizar a un tercero mediante un poder simple, quién debe presentarlo al momento de retirar el beneficio, junto a la fotocopia de la cédula de identidad de ambos. 1_3_1_PODER_SIMPLE_PAE.-5.pdf (47,0 kb)  D.-  Se recuerda a los alumnos que los cheques deben ser cobrados antes de 60 días contados desde su fecha de emisión, ya que en caso contrario, al caducar el documento, este NO será revalidado por los Servicios Centrales.    Saluda   Bienestar Estudiantil|No se detecta ningún sesgo de género en el texto.|1.0||2015
318|Conversatorio Desafíos políticos y sociales del cambio institucional en Chile|detalle?id=58285|"

Estimados/as estudiantes,
 
Les invitamos a los ""Conversatorios en Beauchef 2022, organizados por el área de vinculación con el medio de la Escuela de Postgrado y Educación Continua de nuestra Facultad.

Este miércoles 31de agosto, tendremos la charla: Desafíos políticos y sociales del cambio institucional en Chile por Gloria De la Fuente, cientista política y doctora en Ciencias Sociales de la Universidad de Chile.  

 
¿Cuándo?
Miércoles 31 de agosto 18.00 hrs vía streaming
 
Inscripción: https://forms.gle/eFbgBvj5QQyZYtpZA
 

Modera: María Pía Martin. Subdirectora Escuela de Postgrado y Educación Continua
 















 






"|2022-08-29 16:58:29|"Estimados/as estudiantes,     Les invitamos a los ""Conversatorios en Beauchef 2022, organizados por el área de vinculación con el medio de la Escuela de Postgrado y Educación Continua de nuestra Facultad.    Este miércoles 31de agosto, tendremos la charla: Desafíos políticos y sociales del cambio institucional en Chile por Gloria De la Fuente, cientista política y doctora en Ciencias Sociales de la Universidad de Chile.         ¿Cuándo?  Miércoles 31 de agosto 18.00 hrs vía streaming     Inscripción: https://forms.gle/eFbgBvj5QQyZYtpZA       Modera: María Pía Martin. Subdirectora Escuela de Postgrado y Educación Continua"|"En el texto se utiliza la expresión ""Estimados/as estudiantes"", lo que indica que se está considerando tanto a estudiantes masculinos como femeninos. Sin embargo, no se puede descartar la presencia de otros sesgos de género en el texto debido a la falta de información sobre los antecedentes de los organizadores."|1.0||2022
5483|Quinto Proceso de Modificación, Primavera 2014|detalle?id=7621|"Modifica 5
Ya se encuentran disponibles los resultados del Cuarto proceso de modificación y esta abierto el Quinto,, permanecerá disponible hasta el viernes 1 de Agosto a las 11:59 hrs."|2014-07-31 16:27:31|Modifica 5  Ya se encuentran disponibles los resultados del Cuarto proceso de modificación y esta abierto el Quinto,, permanecerá disponible hasta el viernes 1 de Agosto a las 11:59 hrs.|No, no hay sesgo de género en el texto dado.|0.0||2014
736|Bienvenidas y bienvenidos a la FCFM|detalle?id=50809|"Estimada comunidad FCFM:Muy bienvenidos y bienvenidas, espero que durante las vacaciones, junto a sus familiares y amistades, hayan podido descansar física y mentalmente, para retomar las tareas universitarias con renovadas fuerzas y estimulantes motivaciones. Este año recibiremos presencialmente a tres generaciones de estudiantes que no han podido experimentar la plena vida universitaria: 2020, 2021 y 2022. A ellas y a ellos les damos la más calurosa bienvenida, esperando que se integren a nuestra comunidad y aporten con sus esperanzas y visiones de futuro, mientras se nutren de la riqueza intelectual y social que el resto de la comunidad les puede ofrecer. La experiencia que hemos vivido en la pandemia ha sido sin duda muy exigente y agotadora, pero tenemos la esperanza de que este año académico recuperemos una vida personal y universitaria más normal, es decir, sin aquellas restricciones sanitarias que afectan con tanto rigor nuestras actividades. A pesar de aquellas dificultades, hemos visto que la FCFM mantuvo un ritmo de trabajo ejemplar, lo que explicamos por el enorme esfuerzo de todas y todos y por la gran resiliencia y flexibilidad que hemos demostrado tener para enfrentar situaciones muy extremas. Nos espera un año, sin duda, generoso en desafíos políticos nacionales, en que nuestras vidas estarán expuestas a cambios fundamentales: viviremos el proceso de formulación y aprobación de la nueva constitución, un nuevo gobierno se instala con una nutrida agenda de cambios, y elegiremos nuevas autoridades universitarias, mientras en el ámbito internacional el año despierta con el nuevo conflicto bélico en Europa del Este. También este año asoma con las dudas respecto a la economía, arrastradas por la pandemia y agudizadas por la crisis geopolítica mencionada. Nuevamente estaremos a prueba, confío en que una vez más cumpliremos nuestros más altos objetivos.Lo más importante hoy es retomar la vida universitaria presencial, llenar los espacios físicos con aquellas conversaciones estimulantes que extrañamos en esos encuentros de pasillo, en el anhelado momento en el patio, en las clases cara a cara entre estudiantes y equipos docentes, en los laboratorios, en los terrenos, etc. Todo eso, esencial en la vida universitaria, es lo que esperamos revivir este año, porque hemos aprendido que juntos es mejor.
Les hago llegar un gran abrazo de bienvenida.
Francisco J. Martínez ConchaDecano"|2022-02-28 16:16:28|Estimada comunidad FCFM:Muy bienvenidos y bienvenidas, espero que durante las vacaciones, junto a sus familiares y amistades, hayan podido descansar física y mentalmente, para retomar las tareas universitarias con renovadas fuerzas y estimulantes motivaciones. Este año recibiremos presencialmente a tres generaciones de estudiantes que no han podido experimentar la plena vida universitaria: 2020, 2021 y 2022. A ellas y a ellos les damos la más calurosa bienvenida, esperando que se integren a nuestra comunidad y aporten con sus esperanzas y visiones de futuro, mientras se nutren de la riqueza intelectual y social que el resto de la comunidad les puede ofrecer. La experiencia que hemos vivido en la pandemia ha sido sin duda muy exigente y agotadora, pero tenemos la esperanza de que este año académico recuperemos una vida personal y universitaria más normal, es decir, sin aquellas restricciones sanitarias que afectan con tanto rigor nuestras actividades. A pesar de aquellas dificultades, hemos visto que la FCFM mantuvo un ritmo de trabajo ejemplar, lo que explicamos por el enorme esfuerzo de todas y todos y por la gran resiliencia y flexibilidad que hemos demostrado tener para enfrentar situaciones muy extremas. Nos espera un año, sin duda, generoso en desafíos políticos nacionales, en que nuestras vidas estarán expuestas a cambios fundamentales: viviremos el proceso de formulación y aprobación de la nueva constitución, un nuevo gobierno se instala con una nutrida agenda de cambios, y elegiremos nuevas autoridades universitarias, mientras en el ámbito internacional el año despierta con el nuevo conflicto bélico en Europa del Este. También este año asoma con las dudas respecto a la economía, arrastradas por la pandemia y agudizadas por la crisis geopolítica mencionada. Nuevamente estaremos a prueba, confío en que una vez más cumpliremos nuestros más altos objetivos.Lo más importante hoy es retomar la vida universitaria presencial, llenar los espacios físicos con aquellas conversaciones estimulantes que extrañamos en esos encuentros de pasillo, en el anhelado momento en el patio, en las clases cara a cara entre estudiantes y equipos docentes, en los laboratorios, en los terrenos, etc. Todo eso, esencial en la vida universitaria, es lo que esperamos revivir este año, porque hemos aprendido que juntos es mejor. Les hago llegar un gran abrazo de bienvenida. Francisco J. Martínez ConchaDecano|"No se detecta sesgo de género en el texto ya que utiliza lenguaje inclusivo que reconoce tanto a hombres como a mujeres, utilizando expresiones como ""bienvenidos y bienvenidas"", ""a ellas y a ellos"" y ""todas y todos""."|0.0||2022
5283|Curso nuevo verano 2014|detalle?id=8169|"Se informa que se agregó un nuevo curso a la oferta de verano, pueden revisar los horarios en el catalogo verano 2014

MA3403 Probabilidades y Estadística

se les recuerda que:
La inscripción de cursos cierra el jueves 4 a las 23:59 hrs.
La formalización de inscripción y pago de arancel se realizará del lunes 15 al viernes 19 de Diciembre. 
Si no formalizan la inscripción al final de este periodo los cursos serán eliminados."|2014-12-04 14:53:04|Se informa que se agregó un nuevo curso a la oferta de verano, pueden revisar los horarios en el catalogo verano 2014  MA3403 Probabilidades y Estadística   se les recuerda que:  La inscripción de cursos cierra el jueves 4 a las 23:59 hrs.  La formalización de inscripción y pago de arancel se realizará del lunes 15 al viernes 19 de Diciembre.   Si no formalizan la inscripción al final de este periodo los cursos serán eliminados.|No hay sesgo de género en el texto.|0.0||2014
8168|Inscribete y Disfruta de los Beneficios de a-dedo|detalle?id=728|"


 Más información en: 4_folleto.pdf

a-dedo"|2009-05-20 11:28:20|Más información en: 4_folleto.pdf   a-dedo|No se puede detectar sesgo de género en este texto, ya que no incluye ningún término o forma gramatical que indique una preferencia o discriminación hacia un género particular.|0.0||2009
3473|Último plazo para convocatoria de Concurso VIU 2018|detalle?id=20791|"Estudiantes de pregrado y postgrado de la FCFM:

El 30 de mayo cierra la convocatoria para participar del 8º Concurso de Valorización de la Investigación en la Universidad (VIU), que financia a estudiantes de pregrado y postgrado que quieran materializar sus tesis o trabajos de investigación en empresas, productos o negocios.

En este contexto, mañana 17 de mayo es el último plazo para solicitar los documentos firmados por el Decano de la FCFM, de acuerdo a las bases del concurso.

¿Cómo Postular?

1. Presentar CARTA DE COMPROMISO a Director de Departamento respectivo.
2. Presentar carta de COMPROMISO INSTITUCIONAL antes del 17 de mayo al Decano junto con la CARTA DE COMPROMISO ya firmada por el Director del Departamento.
3. Las cartas CARTA DE COMPROMISO (firmada por el Director del Departamento), COMPROMISO INSTITUCIONAL (firmada por el Decano) y la CARTA DE PROPIEDAD INTELECTUAL (firmada por el Director del proyecto o profesor guía), deberán ser enviadas a la VID, a más tardar el día 23 de Mayo de 2018, vía correo electrónico a cdaccarett@uchile.cl.
4.Completar la postulación en http://www.conicyt.cl/fondef/ antes del 30 de mayo.

Si necesitas ayuda, puedes contactar a Leonardo Sepúlveda lsepulveda@openlab.uchile.cl
Más información del concurso AQUÍ.

"|2018-05-16 15:23:16|Estudiantes de pregrado y postgrado de la FCFM:   El 30 de mayo cierra la convocatoria para participar del 8º Concurso de Valorización de la Investigación en la Universidad (VIU), que financia a estudiantes de pregrado y postgrado que quieran materializar sus tesis o trabajos de investigación en empresas, productos o negocios.   En este contexto, mañana 17 de mayo es el último plazo para solicitar los documentos firmados por el Decano de la FCFM, de acuerdo a las bases del concurso.   ¿Cómo Postular?   1. Presentar CARTA DE COMPROMISO a Director de Departamento respectivo.  2. Presentar carta de COMPROMISO INSTITUCIONAL antes del 17 de mayo al Decano junto con la CARTA DE COMPROMISO ya firmada por el Director del Departamento.  3. Las cartas CARTA DE COMPROMISO (firmada por el Director del Departamento), COMPROMISO INSTITUCIONAL (firmada por el Decano) y la CARTA DE PROPIEDAD INTELECTUAL (firmada por el Director del proyecto o profesor guía), deberán ser enviadas a la VID, a más tardar el día 23 de Mayo de 2018, vía correo electrónico a cdaccarett@uchile.cl.  4.Completar la postulación en http://www.conicyt.cl/fondef/ antes del 30 de mayo.   Si necesitas ayuda, puedes contactar a Leonardo Sepúlveda lsepulveda@openlab.uchile.cl  Más información del concurso AQUÍ.|El texto no presenta sesgo de género.|0.0||2018
